Number,Date-Time,Temp(°C),Salinity(psu),Conduct(mS/cm),Velocity(m/sec)
1,18.03.2024 13:00:00,"14,25","0,01","0,00","1462,52"
2,18.03.2024 15:00:00,"13,60","0,01","0,00","1460,16"
3,18.03.2024 17:00:00,"13,25","0,01","0,00","1458,91"
4,18.03.2024 19:00:00,"12,97","0,01","0,00","1457,86"
5,18.03.2024 21:00:00,"12,81","0,01","0,00","1457,28"
6,18.03.2024 23:00:00,"12,72","0,01","0,00","1456,93"
7,19.03.2024 01:00:00,"12,53","0,01","0,00","1456,22"
8,19.03.2024 03:00:00,"12,37","0,01","0,00","1455,63"
9,19.03.2024 05:00:00,"12,15","0,01","0,00","1454,80"
10,19.03.2024 07:00:00,"12,02","0,01","0,00","1454,32"
11,19.03.2024 09:00:00,"11,89","0,01","0,00","1453,83"
12,19.03.2024 11:00:00,"11,86","0,01","0,00","1453,71"
13,19.03.2024 13:00:00,"11,83","0,01","0,00","1453,59"
14,19.03.2024 15:00:00,"11,80","0,01","0,00","1453,47"
15,19.03.2024 17:00:00,"11,83","0,01","0,00","1453,59"
16,19.03.2024 19:00:00,"11,93","0,01","0,00","1453,95"
17,19.03.2024 21:00:00,"11,99","0,01","0,00","1454,20"
18,19.03.2024 23:00:00,"12,05","0,01","0,00","1454,44"
19,20.03.2024 01:00:00,"12,08","0,01","0,00","1454,56"
20,20.03.2024 03:00:00,"12,18","0,01","0,00","1454,92"
21,20.03.2024 05:00:00,"12,21","0,01","0,00","1455,04"
22,20.03.2024 07:00:00,"12,24","0,01","0,00","1455,15"
23,20.03.2024 09:00:00,"12,31","0,01","0,00","1455,39"
24,20.03.2024 11:00:00,"12,37","0,01","0,00","1455,63"
25,20.03.2024 13:00:00,"12,37","0,01","0,00","1455,63"
26,20.03.2024 15:00:00,"12,37","0,01","0,00","1455,63"
27,20.03.2024 17:00:00,"12,40","0,01","0,00","1455,75"
28,20.03.2024 19:00:00,"12,47","0,01","0,00","1455,99"
29,20.03.2024 21:00:00,"12,50","0,01","0,00","1456,11"
30,20.03.2024 23:00:00,"12,53","0,01","0,00","1456,22"
31,21.03.2024 01:00:00,"12,53","0,01","0,00","1456,22"
32,21.03.2024 03:00:00,"12,56","0,01","0,00","1456,34"
33,21.03.2024 05:00:00,"12,50","0,01","0,00","1456,11"
34,21.03.2024 07:00:00,"12,47","0,01","0,00","1455,99"
35,21.03.2024 09:00:00,"12,40","0,01","0,00","1455,75"
36,21.03.2024 11:00:00,"12,40","0,01","0,00","1455,75"
37,21.03.2024 13:00:00,"12,34","0,01","0,00","1455,51"
38,21.03.2024 15:00:00,"12,24","0,01","0,00","1455,15"
39,21.03.2024 17:00:00,"12,24","0,01","0,00","1455,15"
40,21.03.2024 19:00:00,"12,40","0,01","0,00","1455,75"
