Number,Date-Time,Temp(°C),Salinity(psu),Conduct(mS/cm),Velocity(m/sec)
1,18.03.2024 13:00:00,"14,30","0,17","0,28","1462,89"
2,18.03.2024 15:00:00,"13,65","0,16","0,26","1460,52"
3,18.03.2024 17:00:00,"13,27","0,16","0,26","1459,16"
4,18.03.2024 19:00:00,"12,99","0,16","0,26","1458,12"
5,18.03.2024 21:00:00,"12,80","0,16","0,26","1457,42"
6,18.03.2024 23:00:00,"12,70","0,18","0,28","1457,09"
7,19.03.2024 01:00:00,"12,55","0,18","0,28","1456,50"
8,19.03.2024 03:00:00,"12,36","0,18","0,28","1455,79"
9,19.03.2024 05:00:00,"12,16","0,20","0,31","1455,09"
10,19.03.2024 07:00:00,"12,04","0,18","0,28","1454,59"
11,19.03.2024 09:00:00,"11,91","0,20","0,31","1454,13"
12,19.03.2024 11:00:00,"11,85","0,18","0,28","1453,87"
13,19.03.2024 13:00:00,"11,81","0,18","0,28","1453,75"
14,19.03.2024 15:00:00,"11,81","0,20","0,31","1453,77"
15,19.03.2024 17:00:00,"11,81","0,20","0,31","1453,77"
16,19.03.2024 19:00:00,"11,91","0,20","0,31","1454,13"
17,19.03.2024 21:00:00,"12,01","0,20","0,31","1454,49"
18,19.03.2024 23:00:00,"12,04","0,18","0,28","1454,59"
19,20.03.2024 01:00:00,"12,10","0,18","0,28","1454,83"
20,20.03.2024 03:00:00,"12,20","0,20","0,31","1455,21"
21,20.03.2024 05:00:00,"12,23","0,18","0,28","1455,31"
22,20.03.2024 07:00:00,"12,26","0,18","0,28","1455,43"
23,20.03.2024 09:00:00,"12,32","0,18","0,28","1455,67"
24,20.03.2024 11:00:00,"12,36","0,18","0,28","1455,79"
25,20.03.2024 13:00:00,"12,39","0,18","0,28","1455,91"
26,20.03.2024 15:00:00,"12,39","0,18","0,28","1455,91"
27,20.03.2024 17:00:00,"12,42","0,18","0,28","1456,02"
28,20.03.2024 19:00:00,"12,48","0,18","0,28","1456,26"
29,20.03.2024 21:00:00,"12,51","0,18","0,28","1456,38"
30,20.03.2024 23:00:00,"12,55","0,18","0,28","1456,50"
31,21.03.2024 01:00:00,"12,55","0,18","0,28","1456,50"
32,21.03.2024 03:00:00,"12,58","0,20","0,31","1456,64"
33,21.03.2024 05:00:00,"12,51","0,18","0,28","1456,38"
34,21.03.2024 07:00:00,"12,48","0,18","0,28","1456,26"
35,21.03.2024 09:00:00,"12,42","0,18","0,28","1456,02"
36,21.03.2024 11:00:00,"12,42","0,18","0,28","1456,02"
37,21.03.2024 13:00:00,"12,36","0,18","0,28","1455,79"
38,21.03.2024 15:00:00,"12,26","0,18","0,28","1455,43"
39,21.03.2024 17:00:00,"12,23","0,18","0,28","1455,31"
40,21.03.2024 19:00:00,"12,42","0,18","0,28","1456,02"
41,21.03.2024 21:00:00,"12,80","0,16","0,26","1457,42"
42,21.03.2024 23:00:00,"12,99","0,16","0,26","1458,12"
43,22.03.2024 01:00:00,"12,67","0,18","0,28","1456,97"
44,22.03.2024 03:00:00,"12,20","0,20","0,31","1455,21"
45,22.03.2024 05:00:00,"11,88","0,20","0,31","1454,01"
46,22.03.2024 07:00:00,"11,78","0,18","0,28","1453,63"
47,22.03.2024 09:00:00,"11,94","0,18","0,28","1454,23"
48,22.03.2024 11:00:00,"12,48","0,18","0,28","1456,26"
49,22.03.2024 13:00:00,"12,89","0,16","0,26","1457,77"
50,22.03.2024 15:00:00,"12,70","0,18","0,28","1457,09"
51,22.03.2024 17:00:00,"12,42","0,18","0,28","1456,02"
52,22.03.2024 19:00:00,"11,94","0,18","0,28","1454,23"
53,22.03.2024 21:00:00,"11,49","0,20","0,31","1452,55"
