Number,Date-Time,Temp(°C),Salinity(psu),Conduct(mS/cm),Velocity(m/sec)
1,18.03.2024 13:00:00,"14,30","0,02","0,02","1462,71"
2,18.03.2024 15:00:00,"13,65","0,01","0,00","1460,34"
3,18.03.2024 17:00:00,"13,30","0,01","0,00","1459,08"
4,18.03.2024 19:00:00,"12,99","0,01","0,00","1457,92"
5,18.03.2024 21:00:00,"12,83","0,02","0,02","1457,35"
6,18.03.2024 23:00:00,"12,73","0,01","0,00","1456,99"
7,19.03.2024 01:00:00,"12,58","0,01","0,00","1456,40"
8,19.03.2024 03:00:00,"12,39","0,02","0,02","1455,70"
9,19.03.2024 05:00:00,"12,20","0,01","0,00","1454,97"
10,19.03.2024 07:00:00,"12,07","0,01","0,00","1454,49"
11,19.03.2024 09:00:00,"11,91","0,01","0,00","1453,89"
12,19.03.2024 11:00:00,"11,88","0,01","0,00","1453,77"
13,19.03.2024 13:00:00,"11,84","0,01","0,00","1453,65"
14,19.03.2024 15:00:00,"11,81","0,01","0,00","1453,53"
15,19.03.2024 17:00:00,"11,84","0,01","0,00","1453,65"
16,19.03.2024 19:00:00,"11,94","0,01","0,00","1454,01"
17,19.03.2024 21:00:00,"12,00","0,01","0,00","1454,25"
18,19.03.2024 23:00:00,"12,07","0,01","0,00","1454,49"
19,20.03.2024 01:00:00,"12,10","0,01","0,00","1454,61"
20,20.03.2024 03:00:00,"12,20","0,02","0,02","1454,99"
21,20.03.2024 05:00:00,"12,26","0,01","0,00","1455,21"
22,20.03.2024 07:00:00,"12,29","0,01","0,00","1455,33"
23,20.03.2024 09:00:00,"12,32","0,01","0,00","1455,45"
24,20.03.2024 11:00:00,"12,39","0,02","0,02","1455,70"
25,20.03.2024 13:00:00,"12,39","0,01","0,00","1455,69"
26,20.03.2024 15:00:00,"12,42","0,02","0,02","1455,82"
27,20.03.2024 17:00:00,"12,42","0,01","0,00","1455,81"
28,20.03.2024 19:00:00,"12,48","0,02","0,02","1456,06"
29,20.03.2024 21:00:00,"12,54","0,02","0,02","1456,30"
30,20.03.2024 23:00:00,"12,54","0,01","0,00","1456,28"
31,21.03.2024 01:00:00,"12,54","0,01","0,00","1456,28"
32,21.03.2024 03:00:00,"12,58","0,01","0,00","1456,40"
33,21.03.2024 05:00:00,"12,54","0,01","0,00","1456,28"
34,21.03.2024 07:00:00,"12,48","0,01","0,00","1456,05"
35,21.03.2024 09:00:00,"12,45","0,01","0,00","1455,93"
36,21.03.2024 11:00:00,"12,42","0,02","0,02","1455,82"
37,21.03.2024 13:00:00,"12,35","0,01","0,00","1455,57"
38,21.03.2024 15:00:00,"12,29","0,01","0,00","1455,33"
39,21.03.2024 17:00:00,"12,26","0,02","0,02","1455,23"
40,21.03.2024 19:00:00,"12,42","0,01","0,00","1455,81"
41,21.03.2024 21:00:00,"12,80","0,01","0,00","1457,22"
42,21.03.2024 23:00:00,"13,02","0,01","0,00","1458,04"
43,22.03.2024 01:00:00,"12,67","0,01","0,00","1456,75"
44,22.03.2024 03:00:00,"12,23","0,01","0,00","1455,09"
45,22.03.2024 05:00:00,"11,91","0,01","0,00","1453,89"
46,22.03.2024 07:00:00,"11,78","0,01","0,00","1453,40"
47,22.03.2024 09:00:00,"11,94","0,01","0,00","1454,01"
48,22.03.2024 11:00:00,"12,48","0,02","0,02","1456,06"
49,22.03.2024 13:00:00,"12,89","0,01","0,00","1457,58"
50,22.03.2024 15:00:00,"12,70","0,01","0,00","1456,87"
51,22.03.2024 17:00:00,"12,45","0,01","0,00","1455,93"
52,22.03.2024 19:00:00,"11,97","0,01","0,00","1454,13"
53,22.03.2024 21:00:00,"11,52","0,01","0,00","1452,43"
54,22.03.2024 23:00:00,"11,23","0,01","0,00","1451,31"
55,23.03.2024 01:00:00,"11,01","0,01","0,00","1450,44"
56,23.03.2024 03:00:00,"10,78","0,01","0,00","1449,56"
57,23.03.2024 05:00:00,"10,55","0,01","0,00","1448,67"
58,23.03.2024 07:00:00,"10,45","0,01","0,00","1448,29"
59,23.03.2024 09:00:00,"10,75","0,01","0,00","1449,43"
60,23.03.2024 11:00:00,"11,20","0,01","0,00","1451,19"
61,23.03.2024 13:00:00,"11,62","0,01","0,00","1452,79"
62,23.03.2024 15:00:00,"11,88","0,01","0,00","1453,77"
63,23.03.2024 17:00:00,"12,07","0,01","0,00","1454,49"
64,23.03.2024 19:00:00,"12,16","0,01","0,00","1454,85"
65,23.03.2024 21:00:00,"12,10","0,01","0,00","1454,61"
