Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
4/12/2002,49,49,49,,,
4/13/2002,53,62,49,,,
4/14/2002,48,53,41,,,
4/15/2002,40,43,38,,,
4/16/2002,51,61,41,,,
4/17/2002,54,66,44,,,
4/18/2002,40,45,37,,,
4/19/2002,42,47,36,,,
4/20/2002,47,57,39,,,
4/21/2002,36,45,29,,,
4/22/2002,35,40,26,,,
4/23/2002,40,47,32,,,
4/24/2002,40,50,33,,,
4/25/2002,44,54,36,,,
4/26/2002,38,46,32,,,
4/27/2002,40,49,32,,,
4/28/2002,37,42,32,,,
4/29/2002,33,36,32,,,
4/30/2002,40,61,32,,,
5/1/2002,45,54,38,,,
5/2/2002,41,50,36,,,
5/3/2002,42,47,38,,,
5/4/2002,51,61,38,,,
5/5/2002,53,62,44,,,
5/6/2002,54,65,45,,,
5/7/2002,54,62,50,,,
5/8/2002,53,63,45,,,
5/9/2002,49,55,43,,,
5/10/2002,57,68,46,,,
5/11/2002,51,60,45,,,
5/12/2002,47,53,41,,,
5/13/2002,43,49,38,,,
5/14/2002,42,48,37,,,
5/15/2002,43,47,39,,,
5/16/2002,52,59,39,,,
5/17/2002,56,67,45,,,
5/18/2002,40,44,35,,,
5/19/2002,46,56,37,,,
5/20/2002,46,57,36,,,
5/21/2002,48,59,40,,,
5/22/2002,53,66,40,,,
5/23/2002,58,69,48,,,
5/24/2002,59,74,48,,,
5/25/2002,51,63,41,,,
5/26/2002,49,53,43,,,
5/27/2002,57,68,49,,,
5/28/2002,61,71,47,,,
5/29/2002,55,64,48,,,
5/30/2002,59,64,54,,,
5/31/2002,60,67,56,,,
6/1/2002,63,73,54,,,
6/2/2002,54,66,43,,,
6/3/2002,49,60,40,,,
6/4/2002,53,61,43,,,
6/5/2002,53,59,49,,,
6/6/2002,56,59,51,,,
6/7/2002,54,59,50,,,
6/8/2002,54,63,46,,,
6/9/2002,58,70,51,,,
6/10/2002,63,74,50,,,
6/11/2002,53,63,47,,,
6/12/2002,47,47,46,,,
6/13/2002,53,63,45,,,
6/14/2002,52,60,46,,,
6/15/2002,48,52,45,,,
6/16/2002,48,53,45,,,
6/17/2002,53,59,47,,,
6/18/2002,57,71,48,,,
6/19/2002,61,68,55,,,
6/20/2002,65,75,56,,,
6/21/2002,68,78,60,,,
6/22/2002,68,76,60,,,
6/23/2002,62,72,56,,,
6/24/2002,69,80,60,,,
6/25/2002,67,74,57,,,
6/26/2002,68,81,60,,,
6/27/2002,73,82,63,,,
6/28/2002,71,83,65,,,
6/29/2002,69,78,61,,,
6/30/2002,67,78,60,,,
7/1/2002,65,73,58,,,
7/2/2002,69,81,55,,,
7/3/2002,82,95,70,,,
7/4/2002,78,89,66,,,
7/5/2002,69,80,59,,,
7/6/2002,61,69,55,,,
7/7/2002,63,72,57,,,
7/8/2002,72,80,61,,,
7/9/2002,73,83,66,,,
7/10/2002,65,74,51,,,
7/11/2002,59,69,47,,,
7/12/2002,64,76,54,,,
7/13/2002,68,77,61,,,
7/14/2002,71,82,62,,,
7/15/2002,63,72,59,,,
7/16/2002,61,69,58,,,
7/17/2002,64,71,57,,,
7/18/2002,68,81,61,,,
7/19/2002,60,64,56,,,
7/20/2002,61,66,57,,,
7/21/2002,66,74,55,,,
7/22/2002,65,72,61,,,
7/23/2002,74,82,60,,,
7/24/2002,63,72,54,,,
7/25/2002,64,72,56,,,
7/26/2002,,,,,,
7/27/2002,,,,,,
7/28/2002,,,,,,
7/29/2002,71,74,70,,,
7/30/2002,74,80,68,,,
7/31/2002,78,89,66,,,
8/1/2002,70,78,63,,,
8/2/2002,65,73,63,,,
8/3/2002,69,79,64,,,
8/4/2002,71,84,63,,,
8/5/2002,71,78,67,,,
8/6/2002,61,72,56,,,
8/7/2002,54,,53,,,
8/8/2002,67,75,58,,,
8/9/2002,69,80,60,,,
8/10/2002,70,78,62,,,
8/11/2002,73,87,65,,,
8/12/2002,73,85,64,,,
8/13/2002,70,71,69,,,
8/14/2002,,,,,,
8/15/2002,,,,,,
8/16/2002,,,,,,
8/17/2002,,,,,,
8/18/2002,,,,,,
8/19/2002,,,,,,
8/20/2002,,,,,,
8/21/2002,,,,,,
8/22/2002,,,,,,
8/23/2002,,,,,,
8/24/2002,,,,,,
8/25/2002,,,,,,
8/26/2002,,,,,,
8/27/2002,,,,,,
8/28/2002,,,,,,
8/29/2002,,,,,,
8/30/2002,,,,,,
8/31/2002,,,,,,
9/1/2002,,,,,,
9/2/2002,,,,,,
9/3/2002,,,,,,
9/4/2002,,,,,,
9/5/2002,62,72,54,,,
9/6/2002,62,74,50,,,
9/7/2002,69,80,63,,,
9/8/2002,72,84,64,,,
9/9/2002,80,94,71,,,
9/10/2002,78,92,69,,,
9/11/2002,62,72,46,,,
9/12/2002,54,65,46,,,
9/13/2002,60,69,49,,,
9/14/2002,58,65,52,,,
9/15/2002,63,67,61,,,
9/16/2002,56,61,51,,,
9/17/2002,59,68,52,,,
9/18/2002,58,69,50,,,
9/19/2002,61,73,52,,,
9/20/2002,63,67,58,,,
9/21/2002,66,72,62,,,
9/22/2002,67,72,63,,,
9/23/2002,64,68,58,,,
9/24/2002,59,66,53,,,
9/25/2002,61,70,53,,,
9/26/2002,58,63,54,,,
9/27/2002,55,57,54,,,
9/28/2002,58,70,45,,,
9/29/2002,50,58,41,,,
9/30/2002,55,61,46,,,
10/1/2002,65,74,57,,,
10/2/2002,70,80,63,,,
10/3/2002,51,65,42,,,
10/4/2002,51,56,41,,,
10/5/2002,63,72,53,,,
10/6/2002,51,60,46,,,
10/7/2002,54,62,47,,,
10/8/2002,46,56,37,,,
10/9/2002,43,50,35,,,
10/10/2002,48,53,42,,,
10/11/2002,53,58,50,,,
10/12/2002,52,57,49,,,
10/13/2002,51,54,46,,,
10/14/2002,45,54,36,,,
10/15/2002,40,52,30,,,
10/16/2002,45,50,40,,,
10/17/2002,51,58,40,,,
10/18/2002,42,51,36,,,
10/19/2002,48,54,36,,,
10/20/2002,42,52,31,,,
10/21/2002,36,46,29,,,
10/22/2002,36,45,28,,,
10/23/2002,36,46,28,,,
10/24/2002,40,45,35,,,
10/25/2002,41,46,35,,,
10/26/2002,44,46,41,,,
10/27/2002,42,51,37,,,
10/28/2002,39,49,32,,,
10/29/2002,35,44,28,,,
10/30/2002,34,43,27,,,
10/31/2002,35,44,26,,,
11/1/2002,39,48,,,,
11/2/2002,25,,20,,,
11/3/2002,28,39,18,,,
11/4/2002,32,37,24,,,
11/5/2002,34,37,32,,,
11/6/2002,38,42,32,,,
11/7/2002,28,36,17,,,
11/8/2002,36,48,17,,,
11/9/2002,51,61,46,,,
11/10/2002,55,60,50,,,
11/11/2002,58,61,53,,,
11/12/2002,48,54,41,,,
11/13/2002,41,43,37,,,
11/14/2002,41,48,36,,,
11/15/2002,47,55,,,,
11/16/2002,29,,27,,,
11/17/2002,33,35,28,,,
11/18/2002,33,36,29,,,
11/19/2002,33,41,26,,,
11/20/2002,42,49,38,,,
11/21/2002,43,48,37,,,
11/22/2002,43,47,41,,,
11/23/2002,39,48,29,,,
11/24/2002,34,41,28,,,
11/25/2002,34,42,27,,,
11/26/2002,33,42,26,,,
11/27/2002,24,27,17,,,
11/28/2002,19,26,14,,,
11/29/2002,26,33,13,,,
11/30/2002,38,43,31,,,
12/1/2002,29,40,18,,,
12/2/2002,25,33,17,,,
12/3/2002,15,24,12,,,
12/4/2002,16,24,8,,,
12/5/2002,20,24,12,,,
12/6/2002,24,28,20,,,
12/7/2002,32,37,23,,,
12/8/2002,31,41,11,,,
12/9/2002,10,,-1,,,
12/10/2002,28,34,,,,
12/11/2002,33,37,26,,,
12/12/2002,33,36,30,,,
12/13/2002,36,42,30,,,
12/14/2002,38,41,33,,,
12/15/2002,33,37,28,,,
12/16/2002,26,29,17,,,
12/17/2002,19,24,15,,,
12/18/2002,26,36,17,,,
12/19/2002,35,44,26,,,
12/20/2002,46,52,37,,,
12/21/2002,35,42,29,,,
12/22/2002,35,39,31,,,
12/23/2002,34,40,29,,,
12/24/2002,27,33,21,,,
12/25/2002,24,28,19,,,
12/26/2002,22,28,18,,,
12/27/2002,19,25,13,,,
12/28/2002,23,27,17,,,
12/29/2002,26,36,19,,,
12/30/2002,17,25,9,,,
12/31/2002,32,43,14,,,
1/1/2003,33,42,,,,
1/2/2003,17,,14,,,
1/3/2003,21,27,13,,,
1/4/2003,25,28,23,,,
1/5/2003,24,27,22,,,
1/6/2003,26,28,23,,,
1/7/2003,22,25,15,,,
1/8/2003,19,26,14,,,
1/9/2003,19,23,10,,,
1/10/2003,11,14,7,,,
1/11/2003,11,15,7,,,
1/12/2003,16,23,10,,,
1/13/2003,24,32,12,,,
1/14/2003,14,20,6,,,
1/15/2003,6,12,-1,,,
1/16/2003,11,18,2,,,
1/17/2003,15,25,0,,,
1/18/2003,6,16,-7,,,
